Product Name,Product ID,Price,Color,Brand,SKU,Sole-Type,Sale Percentage,  Sale Price  ,Season,Size
Trainers NEW BALANCE,YC373KB2 Black,59,Black,New Balance,209293555,Flat,-15%,Ä 50.00,All year round,"35.5 , 36 , 37 , 37.5 , 38 , 38.5 , 39 , 40"
Trainers NEW BALANCE,YC373GS2 Pink,59,Pink,New Balance,209293548,Flat,New, product not in sale ,All year round,"35.5 , 36 , 37 , 37.5 , 38 , 38.5 , 39 , 40"
Trainers NEW BALANCE,YC373GL2 Purple,59,Purple,New Balance,209293531,Flat,New, product not in sale ,All year round,"35.5 , 36 , 37 , 37.5 , 38 , 38.5 , 39 , 40"
Trainers NEW BALANCE,WL574WU2 Grey,83,Grey,New Balance,209293524,not defined,New, product not in sale ,All year round,"36 , 36.5 , 37 , 37.5 , 38 , 39 , 40 , 40.5 , 41 , 41.5"
Trainers NEW BALANCE,WL574WS2 Blue,83,Blue,New Balance,209293517,Flat,New, product not in sale ,All year round,"36 , 36.5 , 37 , 38 , 39 , 40 , 40.5 , 41"
Trainers NEW BALANCE,WL574WL2 Beige,83,Beige,New Balance,209293487,Flat,New, product not in sale ,All year round,"36 , 36.5 , 37 , 37.5 , 38 , 39 , 40 , 40.5 , 41 , 41.5"
Trainers NEW BALANCE,WL574WH2 Pink,83,Pink,New Balance,209293470,not defined,New, product not in sale ,All year round,"36 , 36.5 , 37 , 37.5 , 38 , 39 , 40 , 40.5 , 41 , 41.5"
Trainers NEW BALANCE,YK570CRZ Black,47,Black,New Balance,209293647,Flat,-15%,Ä 40.00,All year round,"35.5 , 36 , 37 , 37.5 , 38 , 38.5 , 39 , 40"
Trainers NEW BALANCE,WL574SP2 Beige Pink,88,"Beige, 
            Pink",New Balance,209293463,Flat,-10%,Ä 79.00,All year round,"36 , 36.5 , 37 , 37.5 , 38 , 39 , 40 , 40.5 , 41 , 41.5"
Trainers NEW BALANCE,YK570CRS Blue,47,Blue,New Balance,209293630,Flat,-15%,Ä 40.00,All year round,"35.5 , 36 , 37 , 37.5 , 38 , 38.5 , 39 , 40"
Trainers NEW BALANCE,YK570CRK Black,47,Black,New Balance,209293623,Flat,-15%,Ä 40.00,All year round,"35.5 , 36 , 37 , 37.5 , 38 , 38.5 , 39 , 40"
Trainers NEW BALANCE,YK570CRB Pink,47,Pink,New Balance,209293616,not defined,-15%,Ä 40.00,All year round,"35.5 , 36 , 37 , 37.5 , 38 , 38.5 , 39 , 40"
Trainers NEW BALANCE,WL574HB2 Black,83,Black,New Balance,209293357,Flat,-11%,Ä 74.00,All year round,"36 , 36.5 , 37 , 37.5 , 38 , 39 , 40 , 40.5 , 41 , 41.5"
Trainers NEW BALANCE,WL574HA2 Brown,83,Brown,New Balance,209293340,Flat,New, product not in sale ,All year round,"36 , 36.5 , 37 , 37.5 , 38 , 39 , 40 , 40.5 , 41 , 41.5"
Trainers NEW BALANCE,WL574HF2 Green,83,Green,New Balance,209293388,Flat,New, product not in sale ,All year round,"36.5 , 37 , 37.5 , 38 , 39 , 40 , 41"
Trainers NEW BALANCE,WL515AC3 Black,71,Black,New Balance,209293234,Flat,New, product not in sale ,All year round,"36 , 36.5 , 37 , 37.5 , 38 , 39 , 40 , 40.5 , 41 , 41.5"
Trainers NEW BALANCE,WL574HD2 Pink,83,Pink,New Balance,209293371,Flat,-5%,Ä 79.00,All year round,"36 , 36.5 , 37 , 37.5 , 38 , 39 , 40 , 40.5 , 41 , 41.5"
Trainers NEW BALANCE,WL515AA3 Pink,71,Pink,New Balance,209293227,Flat,New, product not in sale ,All year round,"36 , 36.5 , 37 , 37.5 , 38 , 39 , 40 , 40.5 , 41 , 41.5"
Trainers NEW BALANCE,WL574HC2 Green,83,Green,New Balance,209293364,Flat,New, product not in sale ,All year round,"36 , 36.5 , 37 , 37.5 , 38 , 39 , 40 , 40.5 , 41"
Hiking Boots TOM TAILOR,2171602 S Red,52,Red,Tom Tailor,209323160,Flat,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Ankle boots TOM TAILOR,2171010 S Platin,52,Brown,Tom Tailor,209323115,Flat,New, product not in sale ,Fall/Winter,"35 , 36 , 37 , 38 , 39 , 40"
Knee High Boots TOM TAILOR,2171001 S Black,52,Black,Tom Tailor,209323030,Flat,New, product not in sale ,Fall/Winter,"36 , 39"
Hiking Boots TOM TAILOR,2170802 Navy,52,Navy Blue,Tom Tailor,209322941,not defined,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Footwear INOV-8,Trailtalon 290 000713-BLNYPK-S-01 Blue/Navy/Pink,143,Blue,Inov-8,209323474,Flat,New, product not in sale ,All year round,"36 , 37 , 37.5 , 38.5 , 40.5"
Trainers JENNY FAIRY,WYL2675-3 Navy,30,Navy Blue,Jenny Fairy,5.90E+12,Wedge heel,0%, product not in sale ,All year round,"36 , 37 , 38 , 39 , 40"
Shoes WOJAS,9494-51 Black,71,Black,Wojas,209320640,Block heel,New, product not in sale ,All year round,"37 , 38 , 39 , 40"
Trekker Boots SALEWA,Ws Wildfire Edge Gtx GORE-TEX 61376-3965 Navy Blazer/Black 3965,212,Navy Blue,Salewa,209317152,Flat,New, product not in sale ,All year round,"36 , 37 , 38.5 , 41"
Footwear SALEWA,Ws Ultra Train 3 61389-3823 Navy Blazer/Maui Blue 3823,162,Navy Blue,Salewa,209317145,not defined,-15%,Ä 138.00,All year round,"36 , 36.5 , 37 , 38 , 38.5 , 39 , 40 , 40.5 , 41"
Trekker Boots SALEWA,Ws Mtm Trainer 2 Gtx GORE-TEX 61358-0991 Black/Bungee Cord,202,"Black, 
            Brown",Salewa,209317138,Flat,-15%,Ä 171.00,All year round,"36 , 37 , 38 , 38.5 , 39 , 40"
Trekker Boots SALEWA,Jr Alp Trainer Mid Gtx GORE-TEX 64010-0365 Dark Denim/Charcoal,107,Blue,Salewa,209317015,Flat,New, product not in sale ,All year round,"26 , 28 , 31 , 32 , 33 , 34 , 35 , 36 , 37 , 38"
Trainers CARINII,B7627 O60-000-000-B88,138,Beige,Carinii,209313024,Hidden wedge Wedge heel,New, product not in sale ,All year round,"36 , 37 , 38 , 39 , 40"
Ankle boots CARINII,B7623 P09-000-000-D51,131,Brown,Carinii,209312980,Block heel,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 40"
Shoes CARINII,B7624 070-000-000-000,128,Black,Carinii,209313000,Flat,New, product not in sale ,All year round,"36 , 37 , 38 , 39 , 40"
Ankle boots CARINII,B7623 E50-000-000-D51,131,Black,Carinii,209312966,Block heel,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Shoes CARINII,B7622 037-000-000-E47,128,Black,Carinii,209312942,Block heel Platform,New, product not in sale ,All year round,"36 , 37 , 38 , 39 , 40"
Trainers CARINII,B7609 O60-000-000-B88,138,Pink,Carinii,209312904,Hidden wedge Wedge heel,New, product not in sale ,All year round,"37 , 38 , 39 , 40"
Trainers CARINII,B7606 O60-000-000-000,131,Beige,Carinii,209312874,not defined,New, product not in sale ,All year round,"36 , 37 , 38 , 39 , 40"
Hiking Boots CARINII,B7509 037-R73-000-000,155,Black,Carinii,209312263,Flat,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Knee High Boots CARINII,B7596 H20-000-000-E47,159,Black,Carinii,209312850,Block heel,New, product not in sale ,Fall/Winter,40
Over-Knee Boots CARINII,B7588 E50-000-000-E36,176,Black,Carinii,209312812,Block heel,New, product not in sale ,Fall/Winter,37
Knee High Boots CARINII,B7592 P09-000-000-E62,159,Brown,Carinii,209312836,Block heel,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39"
Knee High Boots CARINII,B7507 E50-000-000-E63,176,Black,Carinii,209312256,Flat,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Ankle boots CARINII,B7499 E50-000-000-E36,152,Black,Carinii,209312249,Block heel,New, product not in sale ,Fall/Winter,"36 , 38 , 39 , 40"
Knee High Boots CARINII,B7495 H20-000-000-E08,166,Black,Carinii,209312225,Heel,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Ankle boots CARINII,B7584 E50-000-000-E79,138,Black,Carinii,209312775,Platform,New, product not in sale ,Fall/Winter,"36 , 37 , 39 , 40"
Ankle boots CARINII,B7581 P07-000-000-E63,131,Beige,Carinii,209312737,Hidden wedge Wedge heel,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Ankle boots CARINII,B7581 P09-000-000-E63,131,Brown,Carinii,209312751,Hidden wedge Wedge heel,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Knee High Boots CARINII,B7491 E50-000-000-E80,171,Black,Carinii,209312218,Block heel Platform,New, product not in sale ,Fall/Winter,38
Chelsea boots CARINII,B7490 070-000-000-E33,152,Black,Carinii,209312201,Block heel,New, product not in sale ,Fall/Winter,37
Ankle boots CARINII,B7572 E50-000-000-E62,128,Black,Carinii,209312690,Block heel,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Knee High Boots CARINII,B7488 E50-000-000-842,171,Black,Carinii,209312195,Block heel Platform,New, product not in sale ,not found,37
Knee High Boots CARINII,B7487 E50-000-000-E81,176,Black,Carinii,209312188,Block heel Platform,New, product not in sale ,Fall/Winter,"39 , 40"
Ankle boots CARINII,B7570 037-000-000-E36,152,Black,Carinii,209312676,Block heel,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Ankle boots CARINII,B7569 O17-000-000-E71,152,Beige,Carinii,209312652,Block heel,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Ankle boots CARINII,B7566 H20-E50-000-D51,152,Black,Carinii,209312614,Block heel,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Knee High Boots CARINII,B7484 P09-000-000-E63,166,Brown,Carinii,209312164,Hidden wedge Wedge heel,New, product not in sale ,Fall/Winter,"37 , 38 , 39 , 40"
Ankle boots CARINII,B7569 J23-000-000-E71,152,Black,Carinii,209312638,Block heel,New, product not in sale ,Fall/Winter,"36 , 37 , 39 , 40"
Ankle boots CARINII,B7479 070-000-000-E47,155,Black,Carinii,209312157,Block heel,New, product not in sale ,Fall/Winter,38
Ankle boots CARINII,B7472 070-000-000-E33,143,Black,Carinii,209312140,Flat,New, product not in sale ,Fall/Winter,"37 , 38 , 39 , 40"
Ankle boots CARINII,B7467 M-O17-000-000-E72,143,Beige,Carinii,209312133,Block heel,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Ankle boots CARINII,B7559 H20-000-000-E77,152,Black,Carinii,209312577,Block heel,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Ankle boots CARINII,B7553 E50-H20-000-000,155,Black,Carinii,209312553,not defined,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39"
Ankle boots CARINII,B7467/M H20-000-000-E72,143,Black,Carinii,209312126,Block heel,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Ankle boots CARINII,B7552 E50-000-000-E71,152,Black,Carinii,209312539,Block heel,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Ankle boots CARINII,B7464 E50-000-000-E47,138,Black,Carinii,209312119,Block heel Platform,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Trainers CARINII,B7549 E50-000-000-B88,138,Black,Carinii,209312515,Hidden wedge Wedge heel,-16%,Ä 116.00,All year round,"36 , 37 , 38 , 39 , 40"
Hiking Boots CARINII,B7463 H20-000-000-E23,176,Black,Carinii,209312102,Flat,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Ankle boots CARINII,B7544 070-000-000-E59,155,Black,Carinii,209312478,not defined,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Ankle boots CARINII,B7460 037-000-000-E59,152,Black,Carinii,209312096,Block heel,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Hiking Boots CARINII,B7540 R75-000-000-E73,152,Brown,Carinii,209312430,Flat,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Ankle boots CARINII,B7456 E50-000-000-E65,143,Black,Carinii,209312065,Block heel,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Hiking Boots CARINII,B7540 E50-000-000-E73,152,Black,Carinii,209312416,Flat,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Chelsea boots CARINII,B7453 E50-000-000-E70,143,Black,Carinii,209312058,Block heel,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39"
Shoes CARINII,B7424 E50-000-000-E61,150,Black,Carinii,209312041,Block heel,New, product not in sale ,All year round,"36 , 37 , 38 , 39 , 40"
Chelsea boots CARINII,B7421 E50-H20-000-000,150,Black,Carinii,209312034,Flat,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Footwear MERRELL,Vapor Glove 3 Luna Ltr J004080 Blue Fonce,120,Blue,Merrell,209311433,Flat,New, product not in sale ,All year round,"36 , 37 , 37.5 , 38 , 38.5 , 39 , 40 , 40.5 , 41"
Ankle boots CARINII,B7644 H20-000-000-E63,131,Black,Carinii,209313673,Hidden wedge Wedge heel,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Ankle boots CARINII,B7642 O17-000-000-E63,131,Beige,Carinii,209313642,not defined,New, product not in sale ,Fall/Winter,39
Ankle boots CARINII,B7640 E50-000-000-E50,143,Black,Carinii,209313611,Block heel,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Ankle boots CARINII,B7639 Black,150,Black,Carinii,209313581,Block heel,New, product not in sale ,Fall/Winter,"38 , 39 , 40"
Knee High Boots CARINII,B7636 E50-000-000-E33,159,Black,Carinii,209313550,Flat,New, product not in sale ,Fall/Winter,39
Ankle boots CARINII,B7630 D54-000-000-E52,128,Black,Carinii,209313529,Platform Wedge heel,New, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Trainers KAPPA,Fallou 243047 Black 1111,38,Black,Kappa,209233858,Platform Wedge heel,New, product not in sale ,All year round,"36 , 37 , 38 , 39 , 40 , 41 , 42"
Trainers KAPPA,Bash Pf Gc 243001GC White/Multi 1017,33,White,Kappa,209233742,Platform Wedge heel,New, product not in sale ,All year round,"36 , 37 , 38 , 39 , 40 , 41"
Trainers KAPPA,Bash Pf 243001 Sand/White 4210,33,Beige,Kappa,209233728,Flat,New, product not in sale ,All year round,"37 , 38 , 39 , 40 , 41"
Trainers KAPPA,Chaste 243085 White/Multi 1017,28,White,Kappa,209233926,Flat,New, product not in sale ,All year round,"36 , 37 , 38 , 39 , 40 , 41 , 42"
Ankle boots LASOCKI,TROPEA-02 Camel,75,Brown,Lasocki,5.90E+12,Block heel,0%, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Trainers JENNY FAIRY,WYL2675-3 Black,30,Black,Jenny Fairy,5.90E+12,Flat,0%, product not in sale ,All year round,"36 , 37 , 38 , 39 , 40 , 41"
Ankle boots RIEKER,L7582-00A Black,65,Black,Rieker,5.90E+12,Flat,New, product not in sale ,Fall/Winter,"36 , 37 , 38"
Ankle boots LASOCKI,WI23-DOC-P-3 Black,50,Black,Lasocki,5.90E+12,not defined,0%, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40 , 41"
Trainers RIEKER,M6912-14VE Cobalt Blue,60,Navy Blue,Rieker,5.90E+12,Flat,New, product not in sale ,All year round,"38 , 39"
Ankle boots LASOCKI,0539-01 Black,80,Black,Lasocki,5.90E+12,Block heel,0%, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Lords LASOCKI,WI16-ZANNA-01 Black,45,Black,Lasocki,5.90E+12,Flat,0%, product not in sale ,All year round,"36 , 37 , 38 , 39 , 40 , 41"
Trainers LASOCKI,WI16-ZED-02 Black,45,Black,Lasocki,5.90E+12,not defined,New, product not in sale ,All year round,"36 , 37 , 38 , 39 , 40 , 41"
Over-Knee Boots GINO ROSSI,C009-01 Brown,140,Brown,Gino Rossi,5.90E+12,Block heel,0%, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Over-Knee Boots GINO ROSSI,C009-01 Chocolate Brown,140,Brown,Gino Rossi,5.90E+12,Block heel,0%, product not in sale ,Fall/Winter,"36 , 37 , 38 , 39 , 40"
Trainers SPRANDI,WP07-01433-09 Camel,40,Brown,Sprandi,5.90E+12,Flat,0%, product not in sale ,All year round,"36 , 37 , 38 , 39 , 40 , 41"
Trainers SPRANDI,WP07-01433-09 Beige,40,White,Sprandi,5.90E+12,not defined,0%, product not in sale ,All year round,"36 , 37 , 38 , 39 , 40 , 41"
Trainers SPRANDI,WP07-01433-09 Blue,40,Colourful,Sprandi,5.90E+12,Flat,0%, product not in sale ,All year round,"36 , 37 , 38 , 39 , 40 , 41"
Trainers SPRANDI,WP07-01433-09 Green,40,"Colourful, 
            Green",Sprandi,5.90E+12,not defined,0%, product not in sale ,All year round,"36 , 37 , 38 , 41"
Trainers SPRANDI,WP07-01509-02 Grey,40,Grey,Sprandi,5.90E+12,Flat,0%, product not in sale ,All year round,"36 , 37 , 38 , 39 , 40 , 41"
Trainers SPRANDI,WP07-01509-02 Beige,40,Brown,Sprandi,5.90E+12,not defined,0%, product not in sale ,All year round,"36 , 37 , 38 , 39 , 40 , 41"
Trainers SAUCONY,Shadow 6000 S60441-17 Lilac,155,Purple,Saucony,209311488,Flat,New, product not in sale ,All year round,"36 , 37 , 37.5 , 38 , 38.5 , 39 , 40 , 41"
Trainers SAUCONY,Shadow Original S2108-789 Light Grey/Green,107,Grey,Saucony,209311372,Flat,New, product not in sale ,All year round,"40 , 40.5 , 41 , 42 , 42.5 , 43 , 44 , 44.5 , 45 , 46 , 46.5"
Trainers SAUCONY,Shadow Original S1108-803 Grey/Silver,116,Grey,Saucony,209310948,Flat,New, product not in sale ,All year round,"35.5 , 36 , 37 , 37.5 , 38 , 38.5 , 39 , 40 , 40.5 , 41"
Trainers SAUCONY,Shadow Original S1108-802 Tan/Peach,116,Beige,Saucony,209310924,not defined,New, product not in sale ,All year round,"35.5 , 36 , 37 , 37.5 , 38 , 38.5 , 39 , 40 , 40.5 , 41"
Trainers SAUCONY,Shadow Original S1108-801 Grey/Fiolet,119,Pink,Saucony,209310900,Flat,New, product not in sale ,All year round,"36 , 37 , 37.5 , 38 , 38.5 , 39 , 40 , 40.5 , 41"
Trainers SAUCONY,Shadow Original S1108-797 Nav/Purple,107,Navy Blue,Saucony,209310870,Flat,New, product not in sale ,All year round,"35.5 , 36 , 37 , 37.5 , 38 , 38.5 , 39 , 40 , 40.5 , 41"
Footwear SAUCONY,Triumph 19 S10678-10 Black/White,166,Black,Saucony,209310849,Flat,New, product not in sale ,All year round,"38 , 38.5 , 39"
Trainers SAUCONY,Jaz Original S1044-626 Black/White,107,Black,Saucony,209310627,Flat,New, product not in sale ,All year round,"36 , 37 , 37.5 , 38 , 38.5 , 39 , 40 , 41"
Trainers SAUCONY,Jaz Original S1044-625 Grey/Black,107,Grey,Saucony,209310580,Flat,New, product not in sale ,All year round,"36 , 37 , 37.5 , 38 , 38.5 , 39 , 40 , 40.5 , 41"
Trainers SAUCONY,Jazz Original S1044-632 Blush/Pink,107,Pink,Saucony,209310788,Flat,New, product not in sale ,All year round,"36 , 37 , 37.5 , 38 , 38.5 , 39 , 40 , 40.5 , 41"
Trainers SAUCONY,Jazz Original S1044-631 Rust/Lime,107,Dark Red,Saucony,209310740,not defined,New, product not in sale ,All year round,"35.5 , 36 , 37 , 37.5 , 38 , 38.5 , 39 , 40 , 40.5 , 41"
Trainers SAUCONY,Jaz Original S1044-630 Navy/Pink,107,Navy Blue,Saucony,209310719,Flat,New, product not in sale ,All year round,"36 , 37 , 37.5 , 38 , 38.5 , 39 , 40 , 40.5"
Trainers SAUCONY,Jazz Original S1044-629 Green/Pink,107,Green,Saucony,209310689,Flat,New, product not in sale ,All year round,"35.5 , 36 , 37 , 37.5 , 38 , 38.5 , 39 , 40 , 41"
Trainers SAUCONY,Jazz Original S1044-628 Tan/Pink,107,Beige,Saucony,209310658,not defined,New, product not in sale ,All year round,"35.5 , 36 , 37 , 37.5 , 38 , 38.5 , 39 , 40 , 40.5 , 41"
Trekker Boots ECCO,Multi-Vent W GORE-TEX 88025302285 Canary,190,Yellow,ECCO,209310771,not defined,New, product not in sale ,All year round,"36 , 37 , 39"
Ankle boots MENBUR,22690 Black 0001,83,Black,Menbur,209308501,Block heel,New, product not in sale ,Fall/Winter,"35 , 36 , 37 , 38 , 39 , 41"
Ankle boots MENBUR,22691 Black 0001,83,Black,Menbur,209308518,Block heel,New, product not in sale ,Fall/Winter,"35 , 36 , 37 , 38 , 39 , 40 , 41"
